inID,SQLDateTime,DateTime,TradeNum,OrderNum,UserID,TerminalID,CTCLID,AlgoID,AccountCode,MemberCode,ScripCode,Exchange,OptType,ExpiryDate,StrikePrice,ScripDescription,BuySellFlag,TradeQty,TradePrice,MainTradeID,SecurityType,ReferenceText,PendingQty,CustomID,Sender
27279,20230711-09:17:53,20230711-09:17:53:1689,210003765,262319000000000,CMMF01,,FRD_AB,,45563,FRD25_D,9.50419E+017,CME:NEWGEN,,27-Aug-23,0,NG,Buy,5,2663,73,FUTURE,ngjuly4,0,61,s1
27281,20230711-09:18:31,20230711-09:18:31,210003840,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,2,220.1,75,FUTCOM,ng5,0,64,s1
27282,20230711-09:19:42,20230711-09:19:42,210003916,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,11,220.1,76,FUTCOM,ngjuly4,0,67,s1
27283,20230711-09:19:42,20230711-09:19:42,210003993,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,3,220.1,77,FUTCOM,ngjuly4,0,67,s1
27284,20230711-09:19:42,20230711-09:19:42,210004071,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,20,220.1,78,FUTCOM,ngjuly4,0,67,s1
27285,20230711-09:20:05,20230711-09:20:04,210004150,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,22,220.1,79,FUTCOM,ngjuly4,0,67,s1
27286,20230711-09:20:07,20230711-09:20:07,210004230,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,3,220.1,80,FUTCOM,ngjuly4,0,67,s1
27288,20230711-09:20:07,20230711-09:20:07:1689,210004311,262319000000000,CMMF01,,FRD_AB,,45563,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,20,121.24,82,FUTURE,ngjuly4,0,69,s1
27287,20230711-09:20:07,20230711-09:20:07:1689,210004393,262319000000000,CMMF01,,FRD_AB,,45563,FRD25_D,9.50419E+017,CME:NEWGEN,,27-Aug-23,0,NG,Buy,20,2663,81,FUTURE,ngjuly4,0,68,s1
27289,20230711-09:21:08,20230711-09:21:08,210004476,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,22,220.1,83,FUTCOM,ng5,0,64,s1
27290,20230711-09:21:36,20230711-09:21:35,210004560,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,23,220.1,84,FUTCOM,ng5,0,64,s1
27291,20230711-09:23:07,20230711-09:23:07,210004645,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,9,220.1,85,FUTCOM,ng5,0,64,s1
27292,20230711-09:23:07,20230711-09:23:07,210004731,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,23,220.1,86,FUTCOM,ng5,0,64,s1
27293,20230711-09:23:21,20230711-09:23:20,210004818,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,19,220.1,87,FUTCOM,ng5,0,64,s1
27294,20230711-09:23:21,20230711-09:23:21:1689,210004906,262319000000000,CMMF01,,FRD_AB,,45563,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,6,121.26,88,FUTURE,ng5,0,75,s1
27295,20230711-09:23:21,20230711-09:23:21:1689,210004995,262319000000000,CMMF01,,FRD_AB,,45563,FRD25_D,9.50419E+017,CME:NEWGEN,,27-Aug-23,0,NG,Buy,20,2663,89,FUTURE,ng5,0,74,s1
27296,20230711-09:23:38,20230711-09:23:38,210005085,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,19,220.1,90,FUTCOM,ngjuly2,0,56,s1
27298,20230711-09:23:38,20230711-09:23:38:1689,210005176,262319000000000,CMMF01,,FRD_AB,,45563,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,5,121.27,92,FUTURE,ngjuly2,0,78,s1
27297,20230711-09:23:38,20230711-09:23:38:1689,210005268,262319000000000,CMMF01,,FRD_AB,,45563,FRD25_D,9.50419E+017,CME:NEWGEN,,27-Aug-23,0,NG,Buy,5,2663,91,FUTURE,ngjuly2,0,77,s1
27299,20230711-09:24:19,20230711-09:24:19,210005361,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,13,220.1,93,FUTCOM,ng5,0,80,s1
27300,20230711-09:25:12,20230711-09:25:12,210005455,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,3,220.1,94,FUTCOM,ng5,0,80,s1
27301,20230711-09:25:48,20230711-09:25:47,210005550,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,16,220.1,95,FUTCOM,ng5,0,80,s1
27302,20230711-09:26:14,20230711-09:26:14,210005646,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,3,220.1,96,FUTCOM,ng5,0,80,s1
27303,20230711-09:26:51,20230711-09:26:51,210005743,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,15,220.1,97,FUTCOM,ng5,0,80,s1
27304,20230711-09:27:09,20230711-09:27:09,210005841,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,9,220.1,98,FUTCOM,ng5,0,80,s1
27306,20230711-09:27:09,20230711-09:27:09:1689,210005940,262319000000000,CMMF01,,FRD_AB,,45563,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,25,121.28,100,FUTURE,ng5,0,85,s1
27305,20230711-09:27:09,20230711-09:27:09:1689,210006040,262319000000000,CMMF01,,FRD_AB,,45563,FRD25_D,9.50419E+017,CME:NEWGEN,,27-Aug-23,0,NG,Buy,17,2663,99,FUTURE,ng5,0,84,s1
